symbol,timestamp,timezone,session_date,session_type,regular_session,timeframe,open,high,low,close,volume,source,source_as_of,data_vendor,context_24h_status,context_24h_as_of,macro_context_status,macro_context_as_of,iv_context_status,iv_context_as_of,event_context_status,event_context_as_of,notes
QQQ,2026-03-23T11:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,593.24,593.7,585.96,586.2,8698214.500064,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-23T12:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,586.21,588.79,586.06,587.15,4738807.951592,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-23T13:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,587.14,590.34,587.125,589.33,3718788.764824,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-23T14:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,589.44,591.51,589.44,589.99,3575864.382674,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-23T15:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,589.975,590.945,588.17,588.17,3275523.29649,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-24T09:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,584.81,586.28,581.94,583.63,5806041.810465,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-24T10:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,583.62,587.93,583.11,586.8674,4802455.514346,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-24T11:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,586.86,587.74,585.09,586.63,2789036.156312,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-24T12:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,586.63,586.79,582.7,583.51,2974324.851801,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-24T13:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,583.47,585.3,582.59,584.9495,3083674.189596,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-24T14:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,584.94,587.038,584.65,585.09,2586006.815578,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-24T15:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,585.08,585.44,583.25,583.93,2434202.5722,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-25T09:30:00-04:00,America/New_York,2026-03-25,regular,true,1h_rth,589.11,591.37,586.7,590.25,6401908.297199,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-25T10:30:00-04:00,America/New_York,2026-03-25,regular,true,1h_rth,590.27,591.2,585.69,588.99,5663088.805517,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-25T11:30:00-04:00,America/New_York,2026-03-25,regular,true,1h_rth,589.0,589.43,586.71,588.68,3686174.510333,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
