symbol,timestamp,timezone,session_date,session_type,regular_session,timeframe,open,high,low,close,volume,source,source_as_of,data_vendor,context_24h_status,context_24h_as_of,macro_context_status,macro_context_as_of,iv_context_status,iv_context_as_of,event_context_status,event_context_as_of,notes
IWM,2026-03-26T14:30:00-04:00,America/New_York,2026-03-26,regular,true,1h_rth,247.955,248.79,247.53,247.7,1593165.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-26T15:30:00-04:00,America/New_York,2026-03-26,regular,true,1h_rth,247.7,247.9166,247.16,247.41,1560577.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-27T09:30:00-04:00,America/New_York,2026-03-27,regular,true,1h_rth,246.0,246.48,244.21,244.7699,3105574.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-27T10:30:00-04:00,America/New_York,2026-03-27,regular,true,1h_rth,244.75,246.07,244.1403,245.805,1794144.664041,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-27T11:30:00-04:00,America/New_York,2026-03-27,regular,true,1h_rth,245.82,246.74,244.54,244.7,1714005.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-27T12:30:00-04:00,America/New_York,2026-03-27,regular,true,1h_rth,244.72,245.35,243.74,243.78,1510937.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-27T13:30:00-04:00,America/New_York,2026-03-27,regular,true,1h_rth,243.77,244.02,243.02,243.39,1650256.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-27T14:30:00-04:00,America/New_York,2026-03-27,regular,true,1h_rth,243.39,244.1,243.095,243.39,1681714.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-27T15:30:00-04:00,America/New_York,2026-03-27,regular,true,1h_rth,243.41,243.725,242.42,243.07,3280893.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-30T09:30:00-04:00,America/New_York,2026-03-30,regular,true,1h_rth,245.35,245.37,241.57,241.94,3907868.118017,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
